Instance	Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
37	10	94	89	95	95	93	92	93	94	93	94	90	90	91
37	100	76	65	83	86	84	85	81	84	82	86	57	52	39
37	1000	12	5	46	44	44	22	40	44	47	41	0	0	0
37	10000	0	0	0	0	0	0	16	0	0	0	0	0	0
38	1	95	96	95	95	95	95	95	96	94	96	95	95	96
38	10	94	90	95	94	93	94	93	91	93	93	91	90	88
38	100	78	73	84	84	84	80	79	81	84	88	61	61	38
38	1000	13	5	34	45	41	13	25	33	38	44	2	0	2
38	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
39	1	96	96	96	95	95	96	95	96	95	95	95	96	96
39	10	94	90	94	94	94	92	93	93	93	94	91	91	87
39	100	79	69	87	82	82	78	81	84	81	87	67	50	37
39	1000	11	6	59	41	35	23	16	30	22	42	2	2	2
39	10000	0	0	0	0	0	0	0	0	0	4	0	0	0
40	1	96	96	96	97	96	97	95	94	95	96	95	94	94
40	10	94	88	94	95	94	94	93	94	92	94	90	91	89
40	100	78	64	81	85	80	82	85	79	84	87	57	62	42
40	1000	11	5	41	37	35	16	41	35	32	37	4	2	0
40	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
41	1	95	96	96	96	94	95	95	95	95	96	95	96	93
41	10	94	90	95	94	92	94	93	92	94	95	88	91	87
41	100	77	63	87	80	80	79	82	81	83	84	66	49	44
41	1000	8	5	45	46	32	14	40	44	31	59	8	0	2
41	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
42	1	96	95	96	96	95	95	96	96	94	96	96	95	96
42	10	95	89	95	95	94	93	94	91	93	95	90	90	89
42	100	77	68	85	85	82	81	84	77	87	88	51	49	38
42	1000	13	7	42	44	28	13	46	14	36	47	2	0	2
42	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
43	1	96	96	96	95	96	95	95	95	96	92	96	95	94
43	10	94	90	94	95	94	94	93	92	94	92	90	91	92
43	100	73	69	86	83	87	81	83	83	81	87	58	53	44
43	1000	10	2	35	46	37	12	30	33	29	44	5	2	0
43	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
44	1	95	97	95	93	95	95	96	95	95	96	95	96	96
44	10	94	91	95	93	94	94	93	92	93	94	91	90	90
44	100	75	69	89	85	85	78	79	80	83	84	62	55	50
44	1000	9	7	49	39	41	19	29	26	49	42	0	4	0
44	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
45	1	95	96	95	96	95	97	95	95	95	96	94	94	95
45	10	93	90	93	95	93	92	91	91	91	94	91	89	90
45	100	74	69	81	81	84	87	82	85	88	83	62	46	36
45	1000	9	6	43	35	46	20	17	24	28	39	2	0	0
45	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
46	1	96	96	96	95	96	96	95	95	95	95	94	95	95
46	10	93	89	95	93	94	94	93	94	94	94	91	89	90
46	100	76	71	84	87	86	76	78	83	82	88	54	48	40
46	1000	11	4	27	52	45	17	25	26	30	45	2	2	0
46	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
47	1	96	95	95	96	95	95	96	96	94	96	96	96	96
47	10	94	89	95	95	93	94	94	93	92	94	91	90	91
47	100	78	64	82	82	85	81	80	81	82	88	56	61	46
47	1000	7	2	37	45	43	11	26	33	25	39	2	2	2
47	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
48	1	95	95	95	96	96	96	95	94	95	95	94	96	96
48	10	94	88	95	95	93	92	94	92	91	95	89	91	88
48	100	78	68	85	80	84	80	83	82	85	82	60	58	40
48	1000	11	4	45	41	34	9	28	30	27	31	3	2	0
48	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
49	1	96	96	96	94	96	95	95	95	96	95	95	94	94
49	10	94	90	94	94	94	94	92	92	93	95	91	90	91
49	100	74	67	86	83	88	79	81	83	88	88	59	54	48
49	1000	15	5	61	47	46	15	21	23	33	46	3	0	2
49	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
50	1	95	95	95	95	95	96	95	96	96	96	95	96	95
50	10	93	88	93	95	93	95	92	93	94	94	90	91	90
50	100	76	70	89	84	81	82	80	83	81	84	63	54	50
50	1000	9	7	34	47	49	16	17	18	24	28	2	0	4
50	10000	0	0	0	0	0	0	0	0	0	2	0	0	0
51	1	96	94	94	96	96	95	95	95	95	96	96	96	96
51	10	94	92	94	95	94	94	93	93	93	94	90	91	87
51	100	80	73	86	81	84	83	79	84	82	83	61	50	45
51	1000	16	9	51	48	56	24	21	25	34	50	2	0	3
51	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
52	1	96	94	96	95	95	96	95	94	95	96	95	96	96
52	10	94	89	95	94	93	94	92	93	93	94	90	91	88
52	100	77	70	88	79	80	83	84	82	82	84	56	52	44
52	1000	9	12	26	23	34	17	20	27	25	54	0	0	0
52	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
53	1	95	96	96	96	96	96	97	97	95	96	95	94	97
53	10	93	91	95	95	93	94	92	95	94	95	90	89	91
53	100	75	72	83	81	89	80	78	81	87	84	69	51	44
53	1000	7	5	48	37	46	22	34	45	27	45	8	2	2
53	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
54	1	95	93	96	97	95	96	96	95	97	96	96	95	94
54	10	94	89	94	93	93	92	94	94	94	93	90	90	90
54	100	77	67	86	83	86	77	77	80	81	86	70	58	46
54	1000	11	4	47	39	45	13	29	28	27	33	4	0	0
54	10000	0	0	0	0	4	0	0	0	0	3	0	0	0
55	1	96	94	96	96	95	94	96	95	97	95	94	94	95
55	10	94	91	94	95	94	92	93	90	93	92	88	91	91
55	100	78	66	84	90	84	78	80	78	83	82	63	52	43
55	1000	13	7	24	49	49	20	42	29	30	42	5	4	0
55	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
56	1	96	95	96	95	96	94	96	96	95	95	96	97	95
56	10	93	88	94	93	93	94	94	94	92	94	91	92	83
56	100	78	68	84	85	81	78	82	79	83	80	63	51	38
56	1000	9	6	35	49	35	18	27	19	39	37	2	0	0
56	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
57	1	96	94	96	96	95	95	96	95	96	97	94	95	94
57	10	93	88	95	95	93	94	92	94	94	95	92	88	89
57	100	76	73	83	83	84	83	81	85	82	85	61	53	43
57	1000	11	7	52	52	39	19	25	29	43	36	4	0	4
57	10000	0	0	0	0	0	0	4	15	0	0	0	0	0
